epoch,model,train_acc,val_acc,loss,epoch_time_sec,checkpoint
20,cnn_lstm,99.38719231947707,99.35838680109991,0.03627286995113803,144.65,cnn_lstm_99.36_20251013_001950.pth
21,cnn_lstm,99.43825962618732,99.46150320806599,0.03394829354169706,142.54,cnn_lstm_99.46_20251013_002214.pth
22,cnn_lstm,99.45868654887141,99.40421631530705,0.03126056480429098,144.75,cnn_lstm_99.46_20251013_002214.pth
23,cnn_lstm,99.49443366356859,99.70210815765353,0.028231773578838926,143.2,cnn_lstm_99.70_20251013_002704.pth
24,cnn_lstm,99.54550097027882,99.70210815765353,0.025531489501456422,143.1,cnn_lstm_99.70_20251013_002704.pth
25,cnn_lstm,99.62593197834747,99.73648029330889,0.022831072591468896,145.28,cnn_lstm_99.74_20251013_003154.pth
26,cnn_lstm,99.6540189970381,99.67919340054995,0.021050819663941393,145.85,cnn_lstm_99.74_20251013_003154.pth
27,cnn_lstm,99.63231539168625,99.48441796516957,0.02037500853792667,150.29,cnn_lstm_99.74_20251013_003154.pth
28,cnn_lstm,99.66933918905117,99.74793767186068,0.019096016978256965,147.47,cnn_lstm_99.75_20251013_003919.pth
29,cnn_lstm,99.70508630374835,99.66773602199817,0.017547929434669055,147.24,cnn_lstm_99.75_20251013_003919.pth
30,cnn_lstm,99.7408334184455,99.73648029330889,0.016115114873050868,143.11,cnn_lstm_99.75_20251013_003919.pth
31,cnn_lstm,99.72551322643244,99.78230980751604,0.015539055904689326,143.05,cnn_lstm_99.78_20251013_004634.pth
32,cnn_lstm,99.72040649576141,99.80522456461962,0.015788786112501216,143.08,cnn_lstm_99.81_20251013_004858.pth
33,cnn_lstm,99.7791338984782,99.85105407882676,0.013693977430157121,144.63,cnn_lstm_99.85_20251013_005124.pth
34,cnn_lstm,99.74466346644878,99.78230980751604,0.013500940114010124,143.0,cnn_lstm_99.85_20251013_005124.pth
35,cnn_lstm,99.78424062914922,99.83959670027498,0.012579492250589243,142.99,cnn_lstm_99.85_20251013_005124.pth
36,cnn_lstm,99.79573077315902,99.71356553620532,0.011374008805024845,144.48,cnn_lstm_99.85_20251013_005124.pth
37,cnn_lstm,99.81615769584312,99.88542621448212,0.010547195374913351,142.87,cnn_lstm_99.89_20251013_010059.pth
38,cnn_lstm,99.81743437851088,99.77085242896425,0.010397875662162534,143.05,cnn_lstm_99.89_20251013_010059.pth
39,cnn_lstm,99.8314778878562,99.75939505041246,0.009470969584717043,144.65,cnn_lstm_99.89_20251013_010059.pth
40,cnn_lstm,99.85190481054029,99.75939505041246,0.009460018241785436,143.0,cnn_lstm_99.89_20251013_010059.pth
41,cnn_lstm,99.83275457052395,99.85105407882676,0.009165974355593534,143.16,cnn_lstm_99.89_20251013_010059.pth
42,cnn_lstm,99.85701154121132,99.78230980751604,0.008234259691142184,144.68,cnn_lstm_99.89_20251013_010059.pth
43,cnn_lstm,99.82381779184966,99.62190650779102,0.009241389128543226,143.12,cnn_lstm_99.89_20251013_010059.pth
44,cnn_lstm,99.83020120518844,99.89688359303392,0.008876916915774228,143.02,cnn_lstm_99.90_20251013_011745.pth
45,cnn_lstm,99.86211827188234,99.82813932172319,0.00740751304566267,144.71,cnn_lstm_99.90_20251013_011745.pth
46,cnn_lstm,99.86084158921459,99.83959670027498,0.007264163005554798,142.99,cnn_lstm_99.90_20251013_011745.pth
47,cnn_lstm,99.86084158921459,99.85105407882676,0.007113407090390558,142.97,cnn_lstm_99.90_20251013_011745.pth
48,cnn_lstm,99.88637524256971,99.80522456461962,0.006784942971521361,144.48,cnn_lstm_99.90_20251013_011745.pth
49,cnn_lstm,99.85828822387907,99.83959670027498,0.007265722633327052,143.03,cnn_lstm_99.90_20251013_011745.pth
50,cnn_lstm,99.88509855990195,99.85105407882676,0.0068335439725541675,142.95,cnn_lstm_99.90_20251013_011745.pth
51,cnn_lstm,99.85190481054029,99.83959670027498,0.00720135832105705,143.3,cnn_lstm_99.90_20251013_011745.pth
